prob_id, error_type, error_note
prob_015,var_type,"var_type should be int, but it is float"
prob_038,const_lack,"lack one constraint"
prob_066,Ineq_const,"must be \leq or \geq"
prob_068,Ineq_const,"must be \leq or \geq"
prob_083,var_type,"var_type should be float, but it is int"
prob_084,param_lack?,"One parameter should be used but not used"
prob_095,Obj error & logic_error,"two factories' work hour can overlap"
prob_096,var_type,"var_type should be int, but it is float"
prob_097,Ineq_const,"must be \leq or \geq"
prob_099,param_extract_fail,"Didn't extract the parameter from the question"
prob_104,logic_error,"Time overlap"
prob_105,logic_error,"Time overlap"
prob_107,Ineq_const,"must be \leq or \geq"
prob_119,var_type,"var_type should be int, but it is float"
prob_124,var_type,"var_type should be int, but it is float"
prob_138,Ineq_const,"must be \leq or \geq"
prob_144,param_error,"parameter extract error"  
prob_155,Ineq_const,"must be \leq or \geq"
prob_162,Ineq_const,"must be \leq or \geq"
prob_202,const_error,"const_error: misunderstand the const"
prob_203,obj_error,"obj_error: misunderstanding the obj"
prob_230,var_type,"var_type should be int, but it is float"
prob_231,var_type,"var_type should be int, but it is float"
prob_258,const_error,"const_error: lost coeff"
prob_259,const_error,"const_error: should be >= instead of =="
prob_260,logic_error,"time overlap"
prob_262,logic_error,"time overlap"
prob_265,Ineq_const,"must be \leq or \geq"
prob_266,const_lack,"lack one constraint"
