prob_id, error_type, error_note
prob_003,var_type,"var_type should be int, but it is float"
prob_006,var_type,"var_type should be int, but it is float"
prob_007,obj_type,"obj coeff error"
prob_013,var_type,"var_type should be int, but it is float"
prob_015,var_type,"var_type should be int, but it is float"
prob_019,const_lack,"lack one constraint"
prob_025,var_type,"var_type should be int, but it is float"
prob_053,obj_type,"obj coeff error"
prob_056,Ineq_const,"must be \leq or \geq"
prob_058,const_error,"const_error: misunderstand the const"
prob_061,const_error,"one const should be >= instead of <="
prob_066,Ineq_const,"must be \leq or \geq"
prob_068,Ineq_const,"must be \leq or \geq"
prob_069,param_error,"parameter extract error"
prob_073,var_type,"var_type should be float, but it is int"  
prob_076,Ineq_const,"must be \leq or \geq"
prob_078,Ineq_const,"must be \leq or \geq"
prob_083,var_type,"var_type should be float, but it is int"
prob_086,Ineq_const,"must be \leq or \geq"
prob_087,var_type,"var_type should be int, but it is float"
prob_088,const_error,"const_error: misunderstanding the const"
prob_090,var_type,"var_type should be int, but it is float"
prob_094,const_error,"const_error: misunderstand the const"
prob_095,Obj error & logic_error,"two factories' work hour can overlap"
prob_097,Ineq_const,"must be \leq or \geq"
prob_098,obj_type,"obj coeff error"
prob_100,var_type,"var_type should be float, but it is int"  
prob_102,var_type,"var_type should be int, but it is float"
prob_104,logic_error,"Time overlap"
prob_105,logic_error,"Time overlap"
prob_113,var_type,"var_type should be float, but it is int"
prob_114,const_lack,"lack one constraint"  
prob_119,var_type,"var_type should be int, but it is float"
prob_126,var_type,"var_type should be int, but it is float"
prob_136,Ineq_const,"must be \leq or \geq"
prob_137,var_type,"var_type should be int, but it is float"
prob_140,var_type,"var_type should be int, but it is float"
prob_162,Ineq_const,"must be \leq or \geq"
prob_163,var_type,"var_type should be int, but it is float"
prob_184,var_type,"var_type should be int, but it is float"
prob_198,var_type,"var_type should be int, but it is float"
prob_203,obj_error,"obj_error: misunderstanding the obj"
prob_215,const_error,"const_error: misunderstand the const"
prob_219,Ineq_const,"must be \leq or \geq"
prob_220,var_type,"var_type should be int, but it is float"
prob_221,param_error,"parameter extract error"
prob_229,obj_error,"obj_error: misunderstanding the obj"
prob_231,var_type,"var_type should be int, but it is float"
prob_240,const_error,"const_error: misunderstand the const & lost one const"
prob_249,obj_error,"obj_error: misunderstanding the obj"
prob_253,var_error,"false decision variable"
prob_258,const_error,"const_error: lost coeff / misunderstand the const"
prob_260,logic_error,"time overlap"
prob_262,logic_error,"time overlap"
prob_263,Ineq_const,"must be \leq or \geq"
