A courier company needs to plan an optimal single-delivery route for one of its couriers. The route starts at a central depot, serves 10 customers, and then returns to the depot. The courier's travel speed is constant at 30 km/h, and the travel cost is ¥5 per kilometer.
Each customer has a desired "service time window." If the courier's actual arrival time deviates from the center of the customer's desired time window, the company incurs a "customer satisfaction penalty" cost. This cost is proportional to the square of the time deviation, calculated by the formula: $Cost = 0.2 \times (\text{Actual Arrival Time} - \text{Time Window Center})^2$.
The company's objective is to determine a unique customer visit sequence and calculate a precise arrival time for each customer to minimize the cost. The courier departs at 8:30 AM from the depot, located at coordinates (0,0). All relevant data are listed in the table below.

Table 1: Customer Data and Service Requirements

| Location ID | Location Type | Position (x, y) km | Service Time (minutes) | Desired Service Window |
|:---:|:---:|:---:|:---:|:---:|
| 1 | Customer | (3, 5) | 5 | 9:30 - 10:00 |
| 2 | Customer | (5, 8) | 8 | 10:00 - 10:20 |
| 3 | Customer | (2, 1) | 5 | 9:00 - 9:20 |
| 4 | Customer | (8, 6) | 10 | 10:30 - 11:00 |
| 5 | Customer | (4, 2) | 6 | 9:45 - 10:15 |
| 6 | Customer | (9, 8) | 7 | 11:15 - 11:40 |
| 7 | Customer | (1, 9) | 9 | 10:10 - 10:40 |
| 8 | Customer | (1, 3) | 5 | 9:15 - 9:40 |
| 9 | Customer | (6, 4) | 12 | 10:20 - 10:50 |
| 10 | Customer | (7, 1) | 6 | 11:00 - 11:20 |
